frame,class,confidence,x1,y1,x2,y2
0,person,0.7160453200340271,803,777,898,922
0,person,0.7020508050918579,883,826,982,930
0,person,0.647729754447937,746,395,787,471
0,person,0.6157739162445068,1125,715,1179,810
0,person,0.5929417014122009,838,557,889,646
0,person,0.5550282001495361,1156,461,1195,542
1,person,0.6603773832321167,812,778,893,922
1,person,0.6425676941871643,874,825,969,918
1,person,0.6160402894020081,1129,712,1194,809
1,person,0.6040869355201721,1173,460,1212,542
1,person,0.5611405372619629,662,452,698,527
1,person,0.5590565800666809,857,557,907,653
1,person,0.5558737516403198,768,394,801,469
2,person,0.7959097623825073,885,833,966,922
2,person,0.7368041276931763,1185,463,1228,545
2,person,0.7220131158828735,813,779,883,927
2,person,0.6917496919631958,872,556,922,656
2,person,0.6128700375556946,1134,713,1207,808
2,person,0.6005816459655762,782,393,818,471
3,person,0.797968864440918,885,833,966,922
3,person,0.7380632162094116,1185,463,1228,545
3,person,0.7242094874382019,812,779,883,927
3,person,0.6932587027549744,872,556,922,656
3,person,0.6120219826698303,1134,713,1207,808
3,person,0.6014516949653625,782,393,818,471
4,person,0.7512284517288208,875,839,958,924
4,person,0.6750374436378479,822,779,885,914
4,person,0.6416618227958679,887,560,932,657
4,person,0.6319884061813354,688,449,728,530
4,person,0.6248709559440613,1137,712,1218,806
4,person,0.6121614575386047,1200,462,1242,546
4,person,0.579153835773468,795,392,829,470
5,person,0.6915546655654907,711,447,750,529
5,person,0.6576225161552429,1218,466,1258,547
5,person,0.6510937809944153,908,562,951,657
5,person,0.6348270177841187,827,780,890,912
5,person,0.6341761350631714,861,850,951,932
5,person,0.6295108795166016,1140,709,1228,810
5,person,0.5615684390068054,818,391,847,467
6,person,0.7849733233451843,921,564,965,657
6,sports ball,0.570922315120697,794,917,816,939
6,person,0.5367950797080994,832,391,861,464
6,person,0.5286184549331665,1149,708,1226,809
7,person,0.749168872833252,942,564,989,654
7,sports ball,0.7086290121078491,789,925,809,943
7,person,0.594918429851532,749,452,791,529
7,person,0.5788691639900208,853,391,884,465
7,person,0.5540769696235657,1162,711,1222,813
7,person,0.5368371605873108,837,777,910,910
8,person,0.6111573576927185,957,564,999,651
8,person,0.522514283657074,764,449,805,526
9,person,0.6110716462135315,957,564,999,651
9,person,0.5264976620674133,764,449,805,526
10,person,0.761241614818573,969,566,1016,652
10,person,0.5983468294143677,828,779,949,921
11,person,0.7549859285354614,837,783,964,923
11,person,0.7281674146652222,990,561,1038,651
11,person,0.6606338620185852,804,448,844,530
11,person,0.6053923964500427,905,391,937,465
11,sports ball,0.5674772262573242,777,948,798,968
12,sports ball,0.6412298679351807,776,949,796,970
12,person,0.6260009407997131,844,790,975,921
12,person,0.5617436766624451,1006,561,1053,658
13,person,0.700846791267395,857,800,988,928
13,person,0.5722746253013611,1027,560,1074,663
13,person,0.5704534649848938,858,800,932,927
13,sports ball,0.5550566911697388,774,951,794,973
13,person,0.5188421607017517,1189,711,1242,811
13,person,0.5077604055404663,841,447,882,530
14,person,0.7370603084564209,1043,564,1088,659
14,person,0.6078740358352661,870,804,939,933
14,person,0.5712838172912598,859,447,896,531
15,person,0.7380422949790955,1043,564,1088,659
15,person,0.5997527837753296,870,804,939,933
15,person,0.5755721926689148,858,447,896,531
16,person,0.7109411954879761,878,806,945,945
16,person,0.6331959962844849,1059,566,1105,662
17,person,0.6334987282752991,881,810,963,932
17,person,0.5154653191566467,1004,382,1034,458
17,person,0.5108795166015625,1085,567,1124,661
18,person,0.6404646039009094,881,809,987,936
18,person,0.6181891560554504,962,854,1022,935
18,person,0.6052226424217224,1102,564,1139,655
18,sports ball,0.5484492778778076,764,962,789,988
19,person,0.7114259600639343,899,811,996,937
19,person,0.5902828574180603,1043,376,1073,454
19,person,0.5651038885116577,990,849,1034,916
19,person,0.542173445224762,965,850,1035,924
19,sports ball,0.5342671871185303,763,964,790,988
19,person,0.5152062177658081,713,446,755,515
20,person,0.577768862247467,731,442,771,516
20,person,0.5492361783981323,915,813,974,948
20,person,0.5133004188537598,1062,377,1087,448
21,person,0.5762381553649902,731,442,771,516
21,person,0.552867591381073,915,812,974,948
21,person,0.5177568197250366,1062,377,1087,448
21,person,0.5044525265693665,960,843,1044,924
22,person,0.6025488376617432,927,817,980,946
22,person,0.5493186712265015,746,443,786,515
23,person,0.7005171775817871,766,441,809,517
23,person,0.5682561993598938,920,816,992,939
23,person,0.55380779504776,1099,375,1130,446
23,person,0.5082104802131653,1173,555,1217,651
24,person,0.6230821013450623,923,821,1001,940
24,person,0.5196893215179443,775,440,822,521
25,person,0.8172528743743896,926,822,1018,948
25,sports ball,0.6325485706329346,764,965,791,990
25,person,0.5690429210662842,1133,375,1169,445
25,person,0.5239895582199097,1205,554,1240,649
25,person,0.517421543598175,796,441,840,522
26,person,0.6226773262023926,927,818,1013,954
26,person,0.6038625836372375,926,820,987,954
26,person,0.5695828795433044,1217,554,1252,651
26,person,0.5649319887161255,807,435,846,509
26,person,0.5140814185142517,1147,373,1182,442
27,person,0.6206157803535461,927,820,1014,953
27,person,0.6031275987625122,926,820,987,954
27,person,0.5673357248306274,1217,554,1252,651
27,person,0.5640609264373779,807,435,846,510
27,person,0.5224156975746155,1147,373,1182,441
28,person,0.6702446937561035,928,819,1012,956
28,person,0.5447494387626648,1161,371,1203,444
28,person,0.5231236219406128,820,439,854,514
29,person,0.5713684558868408,942,823,1008,956
30,person,0.677996039390564,943,822,1019,954
30,person,0.5967472791671753,1091,422,1130,509
30,person,0.5957884192466736,848,438,892,512
30,person,0.5291273593902588,712,369,749,452
30,person,0.52668696641922,1196,367,1231,441
30,person,0.5017348527908325,682,382,711,447
31,person,0.6632891297340393,945,820,1040,948
31,person,0.6164767146110535,864,432,920,514
31,person,0.5332261919975281,1115,420,1152,508
31,person,0.5326674580574036,742,369,780,447
32,person,0.6778168082237244,946,818,1043,953
32,person,0.5718288421630859,1128,417,1169,506
32,person,0.5633301734924316,724,378,749,448
32,person,0.5249422788619995,757,369,797,449
32,person,0.5159710049629211,874,430,925,515
33,person,0.6784553527832031,946,818,1043,953
33,person,0.5706807374954224,1128,417,1169,506
33,person,0.5649831295013428,724,379,749,448
33,person,0.5282065868377686,757,369,797,449
33,person,0.5147033929824829,874,430,925,515
34,person,0.6940942406654358,741,380,768,446
34,person,0.5887464880943298,947,817,1039,958
34,person,0.5483556985855103,657,743,704,861
34,person,0.5431240797042847,889,434,937,521
34,person,0.533294141292572,1143,419,1181,507
35,person,0.7292676568031311,661,744,727,862
35,person,0.7280064225196838,947,817,1023,958
35,person,0.5928715467453003,909,435,953,512
35,person,0.5897587537765503,766,375,793,443
35,person,0.5799703001976013,1128,791,1211,868
35,person,0.5285958051681519,1169,417,1200,507
36,person,0.6225659847259521,922,435,960,510
36,person,0.6183674335479736,947,817,1022,954
36,person,0.6065134406089783,673,745,746,862
36,person,0.5539907217025757,783,375,812,446
36,sports ball,0.5290156602859497,790,957,814,980
36,person,0.5237538814544678,1132,787,1224,865
37,person,0.7416660785675049,946,818,1040,952
37,person,0.6892890930175781,688,752,772,864
37,person,0.6058277487754822,1155,782,1245,861
37,person,0.5926237106323242,808,380,837,442
37,person,0.5204638838768005,939,438,980,512
38,person,0.7246530055999756,943,820,1045,961
38,person,0.6543273329734802,1175,782,1258,861
38,person,0.6439269185066223,949,437,997,511
38,person,0.619490921497345,697,756,784,874
38,person,0.5568335056304932,943,818,1010,964
38,person,0.5043589472770691,825,376,854,447
39,person,0.7273107767105103,943,820,1045,961
39,person,0.6555966138839722,1175,782,1258,861
39,person,0.646244466304779,949,437,998,511
39,person,0.6170524954795837,697,756,784,874
39,person,0.5533943176269531,943,818,1010,964
40,person,0.7472215890884399,706,755,786,882
40,person,0.6836557388305664,947,821,1011,967
40,person,0.6767140030860901,964,440,1014,514
40,person,0.6652252674102783,887,369,924,445
40,person,0.6568533182144165,1193,779,1260,859
40,person,0.5207751989364624,843,377,870,443
41,person,0.7955289483070374,719,762,790,890
41,person,0.6836491823196411,951,825,1017,968
41,person,0.6149775385856628,982,444,1032,522
41,person,0.597296953201294,914,373,950,446
41,person,0.539332389831543,868,376,895,445
42,person,0.7720698118209839,728,767,800,892
42,person,0.7446374893188477,947,827,1026,966
42,person,0.5669681429862976,990,446,1037,522
42,person,0.5623606443405151,884,380,910,444
43,person,0.7458878755569458,944,825,1041,970
43,person,0.7091042995452881,741,770,823,888
